mu_GeV,alpha1_inv,alpha2_inv,alpha3_inv,alpha1,alpha2,alpha3
1585186.7660427045,52.68644311228934,32.77672999566697,19.461141238428496,0.018980214661079402,0.03050944984848087,0.0513844480006842
1738125.9577152354,52.625630868999814,32.802624415167294,19.565260642736458,0.01900214749898742,0.030485365662926027,0.0511109981236691
1905820.7585377467,52.56482139159183,32.82852281075343,19.66937189589565,0.01902413008407859,0.03046131578215382,0.05084046431643641
2089694.7931482738,52.50401465003292,32.85442514160869,19.773475085737843,0.01904616259662294,0.030437300171584615,0.050572799958732456
2291309.037824465,52.443210614763196,32.880331367561816,19.877570298744853,0.01906824521758955,0.030413318796006807,0.05030795942214043
2512375.072202018,52.382409256685385,32.9062414490735,19.981657620051582,0.019090378128653437,0.03038937161959455,0.05004589804383899
2754769.6095220656,52.321610547155174,32.93215534722314,20.085737133443452,0.019112561512202378,0.030365458605925127,0.04978657210120335
3020550.4287602506,52.26081445797178,32.95807302369612,20.189808921349734,0.01913479555134376,0.030341579717995715,0.049529938787214026
3311973.8438913003,52.20002096136878,32.98399444077132,20.293873064834308,0.01915708042991135,0.0303177349182398,0.049275956186639554
3631513.8585924166,52.13923003000511,33.009919561308934,20.39792964358602,0.019179416332472103,0.03029392416854309,0.04902458325295982
3981883.168996906,52.078441636956406,33.03584834873865,20.501978735910917,0.01920180344433291,0.030270147430259086,0.04877577978599778
4366056.192798466,52.0176557557064,33.06178076704804,20.606020418728992,0.01922424195154736,0.030246404664224204,0.048529506410228115
4787294.320208784,51.956872360138625,33.0877167807712,20.710054767578463,0.019246732040922487,0.03022269583077265,0.048285724553732104
5249173.601133531,51.89609142452824,33.11365635497768,20.814081856630917,0.019269273900025516,0.030199020889750794,0.04804439642776852
5755615.103613565,51.835312923534005,33.139599455261504,20.918101758720997,0.01929186771719063,0.030175379800531418,0.047805485006931304
6310918.201255723,51.77453683219047,33.16554604773057,21.022114545394643,0.019314513681525716,0.030151772522027488,0.04756895400986539
6919797.072242659,51.71376312590026,33.19149609899597,21.126120286980253,0.01933721198291913,0.030128199012705838,0.04733476788051267
7587420.719775812,51.65299178042648,33.21744957616164,21.230119052687566,0.019359962812046494,0.030104659230600465,0.0471028917698607
